date,price
10.12.2015,530.0
09.12.2015,534.0
08.12.2015,538.0
07.12.2015,535.0
04.12.2015,534.0
03.12.2015,519.0
02.12.2015,508.0
01.12.2015,510.5
30.11.2015,505.5
27.11.2015,504.5
26.11.2015,507.5
25.11.2015,508.5
24.11.2015,510.5
23.11.2015,506.0
20.11.2015,504.0
19.11.2015,506.0
18.11.2015,500.0
17.11.2015,507.0
16.11.2015,521.5
13.11.2015,523.0
12.11.2015,514.0
11.11.2015,508.5
10.11.2015,506.0
09.11.2015,508.5
06.11.2015,509.5
05.11.2015,506.0
03.11.2015,509.0
02.11.2015,523.0
30.10.2015,526.0
29.10.2015,533.0
28.10.2015,543.0
27.10.2015,545.0
26.10.2015,529.5
23.10.2015,523.5
22.10.2015,530.0
21.10.2015,530.5
20.10.2015,527.5
19.10.2015,526.5
16.10.2015,526.0
15.10.2015,534.0
14.10.2015,535.0
13.10.2015,527.0
12.10.2015,516.5
09.10.2015,515.5
08.10.2015,513.0
07.10.2015,519.0
06.10.2015,527.0
05.10.2015,530.0
02.10.2015,544.0
01.10.2015,526.5
30.09.2015,526.0
29.09.2015,535.0
28.09.2015,536.0
25.09.2015,543.0
24.09.2015,552.0
23.09.2015,534.5
22.09.2015,540.5
21.09.2015,541.5
18.09.2015,539.0
17.09.2015,532.0
16.09.2015,526.0
15.09.2015,532.5
14.09.2015,539.5
11.09.2015,539.5
10.09.2015,543.0
09.09.2015,546.5
08.09.2015,552.5
07.09.2015,557.0
04.09.2015,544.0
03.09.2015,542.5
02.09.2015,553.5
01.09.2015,545.5
31.08.2015,539.0
28.08.2015,531.5
27.08.2015,537.5
26.08.2015,559.0
25.08.2015,566.0
24.08.2015,592.0
21.08.2015,575.5
20.08.2015,555.5
19.08.2015,540.5
18.08.2015,529.0
17.08.2015,527.5
14.08.2015,520.0
13.08.2015,522.5
12.08.2015,522.0
11.08.2015,514.0
10.08.2015,506.5
07.08.2015,507.0
06.08.2015,505.5
05.08.2015,494.5
04.08.2015,497.0
03.08.2015,495.0
31.07.2015,481.5
30.07.2015,470.5
29.07.2015,468.0
28.07.2015,478.5
27.07.2015,470.0
24.07.2015,458.5
23.07.2015,453.0
22.07.2015,451.5
21.07.2015,455.5
20.07.2015,456.5
17.07.2015,465.5
16.07.2015,468.0
15.07.2015,470.0
14.07.2015,471.0
13.07.2015,472.5
10.07.2015,473.0
09.07.2015,477.5
08.07.2015,481.0
07.07.2015,479.0
06.07.2015,475.5
03.07.2015,471.5
02.07.2015,464.5
01.07.2015,465.5
30.06.2015,466.5
29.06.2015,471.0
26.06.2015,463.5
25.06.2015,461.5
24.06.2015,459.5
23.06.2015,457.5
22.06.2015,457.5
19.06.2015,468.5
18.06.2015,463.0
17.06.2015,457.0
16.06.2015,455.5
15.06.2015,466.5
11.06.2015,463.0
10.06.2015,462.5
09.06.2015,469.0
08.06.2015,473.0
05.06.2015,474.5
04.06.2015,471.5
03.06.2015,462.0
02.06.2015,455.5
01.06.2015,457.5
29.05.2015,445.5
28.05.2015,450.0
27.05.2015,440.0
26.05.2015,433.5
25.05.2015,432.0
22.05.2015,432.5
21.05.2015,432.0
20.05.2015,433.5
19.05.2015,428.5
18.05.2015,434.0
15.05.2015,434.5
14.05.2015,439.0
13.05.2015,425.5
12.05.2015,430.0
08.05.2015,433.0
07.05.2015,425.5
06.05.2015,431.0
05.05.2015,433.0
30.04.2015,434.5
29.04.2015,443.5
28.04.2015,446.5
27.04.2015,446.0
24.04.2015,432.0
23.04.2015,436.0
22.04.2015,449.0
21.04.2015,460.0
20.04.2015,454.5
17.04.2015,449.0
16.04.2015,430.5
15.04.2015,432.0
14.04.2015,440.0
13.04.2015,453.5
10.04.2015,452.0
09.04.2015,449.5
08.04.2015,465.5
07.04.2015,479.5
06.04.2015,484.0
03.04.2015,489.0
02.04.2015,487.5
01.04.2015,494.0
31.03.2015,496.5
30.03.2015,492.5
27.03.2015,495.0
26.03.2015,496.0
25.03.2015,495.0
24.03.2015,493.0
23.03.2015,499.0
20.03.2015,504.0
19.03.2015,502.0
18.03.2015,505.0
17.03.2015,512.5
16.03.2015,516.5
13.03.2015,508.5
12.03.2015,504.0
11.03.2015,515.0
10.03.2015,517.5
06.03.2015,508.5
05.03.2015,527.5
04.03.2015,535.0
03.03.2015,540.0
02.03.2015,541.5
27.02.2015,540.0
26.02.2015,526.5
25.02.2015,534.5
24.02.2015,542.0
20.02.2015,538.0
19.02.2015,542.5
18.02.2015,531.0
17.02.2015,545.0
16.02.2015,560.0
13.02.2015,563.0
12.02.2015,581.5
11.02.2015,585.0
10.02.2015,589.0
09.02.2015,582.0
06.02.2015,594.0
05.02.2015,599.5
04.02.2015,611.0
03.02.2015,598.0
02.02.2015,629.0
30.01.2015,639.5
29.01.2015,623.5
28.01.2015,625.0
27.01.2015,622.0
26.01.2015,604.0
23.01.2015,592.0
22.01.2015,599.5
21.01.2015,602.0
20.01.2015,607.0
19.01.2015,592.0
16.01.2015,599.0
15.01.2015,586.0
14.01.2015,589.5
13.01.2015,580.0
12.01.2015,557.0
09.01.2015,529.5
08.01.2015,518.5
06.01.2015,544.5
05.01.2015,512.5
30.12.2014,481.5
29.12.2014,486.0
26.12.2014,459.0
25.12.2014,453.5
24.12.2014,453.5
23.12.2014,469.5
22.12.2014,473.5
19.12.2014,508.0
18.12.2014,513.0
17.12.2014,528.0
16.12.2014,616.5
15.12.2014,537.0
12.12.2014,502.0
11.12.2014,487.0
10.12.2014,481.0
09.12.2014,476.0
08.12.2014,455.0
05.12.2014,455.5
04.12.2014,467.0
03.12.2014,458.5
02.12.2014,457.0
01.12.2014,444.0
28.11.2014,418.09
27.11.2014,403.71
26.11.2014,403.91
25.11.2014,393.26
24.11.2014,383.72
21.11.2014,392.88
20.11.2014,395.7
19.11.2014,396.44
18.11.2014,400.0
17.11.2014,400.0
14.11.2014,394.0
13.11.2014,385.0
12.11.2014,379.44
11.11.2014,384.0
10.11.2014,380.36
07.11.2014,387.0
06.11.2014,375.0
05.11.2014,365.93
03.11.2014,364.8
31.10.2014,357.23
30.10.2014,358.32
29.10.2014,376.0
28.10.2014,374.0
27.10.2014,371.5
24.10.2014,370.0
23.10.2014,368.5
22.10.2014,367.0
21.10.2014,368.02
20.10.2014,365.65
17.10.2014,360.57
16.10.2014,365.0
15.10.2014,362.0
14.10.2014,360.0
13.10.2014,356.12
10.10.2014,354.75
09.10.2014,351.75
08.10.2014,349.31
07.10.2014,344.38
06.10.2014,343.24
03.10.2014,341.82
01.10.2014,343.0
30.09.2014,344.8
29.09.2014,345.03
26.09.2014,339.99
25.09.2014,334.31
24.09.2014,333.8
23.09.2014,338.0
22.09.2014,335.0
19.09.2014,335.99
18.09.2014,335.5
17.09.2014,340.0
16.09.2014,341.15
15.09.2014,337.0
12.09.2014,334.4
11.09.2014,334.0
09.09.2014,334.0
08.09.2014,335.0
05.09.2014,334.0
04.09.2014,334.5
03.09.2014,333.0
02.09.2014,339.1
01.09.2014,343.0
29.08.2014,340.5
28.08.2014,340.16
27.08.2014,332.35
26.08.2014,333.0
25.08.2014,331.38
22.08.2014,330.5
21.08.2014,330.76
20.08.2014,337.25
19.08.2014,336.17
18.08.2014,335.0
15.08.2014,334.0
14.08.2014,338.0
13.08.2014,339.0
12.08.2014,340.0
11.08.2014,337.0
08.08.2014,341.0
07.08.2014,339.1
06.08.2014,338.9
05.08.2014,331.0
04.08.2014,331.0
01.08.2014,332.0
31.07.2014,328.0
30.07.2014,330.0
29.07.2014,331.66
28.07.2014,332.51
24.07.2014,327.0
23.07.2014,327.34
22.07.2014,326.43
21.07.2014,330.7
18.07.2014,329.0
17.07.2014,326.0
16.07.2014,321.0
15.07.2014,322.0
14.07.2014,322.02
11.07.2014,327.06
10.07.2014,328.0
09.07.2014,323.18
08.07.2014,325.0
07.07.2014,324.08
04.07.2014,326.0
03.07.2014,327.0
02.07.2014,328.0
01.07.2014,328.0
30.06.2014,322.56
27.06.2014,320.0
26.06.2014,319.5
25.06.2014,320.0
24.06.2014,321.83
23.06.2014,324.5
20.06.2014,326.7
19.06.2014,320.0
18.06.2014,316.1
17.06.2014,317.7
16.06.2014,319.73
11.06.2014,313.82
10.06.2014,312.0
09.06.2014,310.75
06.06.2014,310.56
05.06.2014,314.39
04.06.2014,316.0
03.06.2014,314.0
02.06.2014,314.0
30.05.2014,313.18
29.05.2014,313.5
28.05.2014,313.51
27.05.2014,315.0
26.05.2014,318.02
23.05.2014,317.72
22.05.2014,320.67
21.05.2014,320.58
20.05.2014,321.19
19.05.2014,323.49
16.05.2014,325.0
